"","Date","Time","I","tempC","DO.meas","atmo.pressure","salinity"
"104","2018-05-05","07:00:00",170.111111111111,24.4,5.7,1.00493583415597,24.1
"105","2018-05-05","08:00:00",482.666666666667,24.3,5.1,1.00493583415597,24.1
"106","2018-05-05","09:00:00",1097.88888888889,24.4,4.3,1.00493583415597,23.8
"107","2018-05-05","10:00:00",1386.22222222222,24.4,5.3,1.00493583415597,23.7
"108","2018-05-05","11:00:00",1774,24.5,4.9,1.00493583415597,23.7
"109","2018-05-05","12:00:00",1694.11111111111,24.7,5.8,1.00394866732478,22.5
"110","2018-05-05","13:00:00",2022.11111111111,24.8,7,1.00394866732478,25
"111","2018-05-05","14:00:00",1886.77777777778,24.9,6.9,1.00296150049358,25.1
"112","2018-05-05","15:00:00",1795,25.1,7.5,1.00296150049358,24.6
"113","2018-05-05","16:00:00",1322.33333333333,25.1,7.1,1.00197433366239,24.7
"114","2018-05-05","17:00:00",786.111111111111,25.1,6.9,1.00197433366239,24.6
"115","2018-05-05","18:00:00",318.666666666667,25,7.5,1.00197433366239,24.4
"116","2018-05-05","19:00:00",68.2222222222222,24.9,7.2,1.00197433366239,24.7
"117","2018-05-05","20:00:00",0,24.9,5.9,1.00197433366239,24.9
"118","2018-05-05","21:00:00",0,24.9,5.1,1.00197433366239,24.8
"119","2018-05-05","22:00:00",0,24.9,5,1.00197433366239,24.8
"120","2018-05-05","23:00:00",0,24.9,4.7,1.00197433366239,24.8
"121","2018-05-06","00:00:00",0,24.9,5.9,1.00197433366239,24.7
"122","2018-05-06","01:00:00",0,24.9,5.1,1.00098716683119,24.6
"123","2018-05-06","02:00:00",0,25.1,7,1.00098716683119,22.6
"124","2018-05-06","03:00:00",0,25,6.4,1.00098716683119,23.4
"125","2018-05-06","04:00:00",0,24.8,6.2,1.00098716683119,24.7
"126","2018-05-06","05:00:00",0,24.7,5.9,1.00098716683119,25
"127","2018-05-06","06:00:00",5,24.7,6.3,1.00098716683119,25
"128","2018-05-06","07:00:00",88.3333333333333,24.7,6.4,1.00197433366239,24.6
"129","2018-05-06","08:00:00",254.444444444444,24.7,6.5,1.00197433366239,25.2
"130","2018-05-06","09:00:00",421.666666666667,24.7,5.6,1.00296150049358,25.3
"131","2018-05-06","10:00:00",633.222222222222,24.8,5.8,1.00296150049358,25.5
"132","2018-05-06","11:00:00",1702,24.8,5.8,1.00296150049358,25.5
"133","2018-05-06","12:00:00",917.111111111111,24.9,6.5,1.00197433366239,23.4
"134","2018-05-06","13:00:00",1580.22222222222,25,6.8,1.00197433366239,24
"135","2018-05-06","14:00:00",1727.33333333333,25,6.3,1.00098716683119,24.3
"136","2018-05-06","15:00:00",848.111111111111,25.1,5.3,1,25.1
"137","2018-05-06","16:00:00",1264,25,5.6,1,25.7
"138","2018-05-06","17:00:00",1036.77777777778,25,6,1,25.8
"139","2018-05-06","18:00:00",574.666666666667,25,6.2,1,25.9
"140","2018-05-06","19:00:00",72,25,6.1,1,26.4
"141","2018-05-06","20:00:00",0,24.9,5.5,1.00098716683119,26.9
"142","2018-05-06","21:00:00",0,24.9,5.2,1.00098716683119,27
"143","2018-05-06","22:00:00",0,24.9,5.2,1.00197433366239,27.1
"144","2018-05-06","23:00:00",0,24.9,5,1.00296150049358,27.2
"145","2018-05-07","00:00:00",0,24.8,4.9,1.00197433366239,27.2
"146","2018-05-07","01:00:00",0,24.8,4.2,1.00197433366239,27.1
"147","2018-05-07","02:00:00",0,24.8,5.1,1.00197433366239,27.4
"148","2018-05-07","03:00:00",0,24.5,5.4,1.00197433366239,30.6
"149","2018-05-07","04:00:00",0,24.2,5.3,1.00197433366239,30.3
"150","2018-05-07","05:00:00",0,24.1,5.4,1.00197433366239,31.2
"151","2018-05-07","06:00:00",11.6666666666667,24,5.5,1.00296150049358,31.4
"152","2018-05-07","07:00:00",260.111111111111,23.9,5.4,1.00394866732478,31.1
"153","2018-05-07","08:00:00",670.666666666667,23.9,5.5,1.00394866732478,30.4
"154","2018-05-07","09:00:00",1089.11111111111,24.1,4.8,1.00394866732478,30.1
"155","2018-05-07","10:00:00",1461.77777777778,24.1,5,1.00394866732478,30.1
"156","2018-05-07","11:00:00",1789.11111111111,24.3,5.6,1.00394866732478,30.1
"157","2018-05-07","12:00:00",1993.88888888889,24.3,5.2,1.00394866732478,30.3
"158","2018-05-07","13:00:00",1884.44444444444,24.3,5.3,1.00296150049358,30.5
"159","2018-05-07","14:00:00",985.777777777778,24.4,6.2,1.00296150049358,30.7
"160","2018-05-07","15:00:00",1735.44444444444,24.6,6.3,1.00197433366239,30.5
"161","2018-05-07","16:00:00",859.666666666667,24.5,6.1,1.00197433366239,30.7
"162","2018-05-07","17:00:00",587.111111111111,24.5,6.3,1.00197433366239,30.6
"163","2018-05-07","18:00:00",183.333333333333,24.6,7,1.00197433366239,29
"164","2018-05-07","19:00:00",99.1111111111111,24.5,6.7,1.00197433366239,28.8
"165","2018-05-07","20:00:00",0,24.5,6.2,1.00296150049358,29
"166","2018-05-07","21:00:00",0,24.4,6,1.00296150049358,29.2
"167","2018-05-07","22:00:00",0,24.4,5.5,1.00394866732478,29.5
"168","2018-05-07","23:00:00",0,24.4,5,1.00394866732478,29.4
"169","2018-05-08","00:00:00",0,24.4,5,1.00394866732478,29.3
"170","2018-05-08","01:00:00",0,24.3,4.3,1.00296150049358,29.2
"171","2018-05-08","02:00:00",0,24.3,4.6,1.00296150049358,29.3
"172","2018-05-08","03:00:00",0,24.5,5,1.00296150049358,29.4
"173","2018-05-08","04:00:00",0,24.3,5.8,1.00296150049358,30.3
"174","2018-05-08","05:00:00",0,24.3,5.8,1.00296150049358,29.4
"175","2018-05-08","06:00:00",12.4444444444444,24.1,6.4,1.00394866732478,23.6
"176","2018-05-08","07:00:00",262.666666666667,24.3,6.1,1.00394866732478,22.8
"177","2018-05-08","08:00:00",667.777777777778,24.5,6.6,1.00493583415597,25.4
